code,label,n_asec_PEIOOCC,n_monthly_2005_07
7020,Radio and telecommunications equipment installers and repairers,635.0,3478.0
7030,Avionics technicians,47.0,269.0
7040,"Electric motor, power tool, and related repairers",114.0,593.0
7050,"Electrical and electronics installers and repairers, transportation equipment",,59.0
7100,"Electrical and electronics repairers, industrial and utility",92.0,253.0
7110,"Electronic equipment installers and repairers, motor vehicles",21.0,390.0
7120,Audiovisual equipment installers and repairers,174.0,879.0
7130,Security and fire alarm systems installers,310.0,939.0
7140,Aircraft mechanics and service technicians,794.0,2227.0
7150,Automotive body and related repairers,680.0,2712.0
7160,Automotive glass installers and repairers,120.0,298.0
7200,Automotive service technicians and mechanics,4450.0,14853.0
7210,Bus and truck mechanics and diesel engine specialists,1862.0,6138.0
7220,Heavy vehicle and mobile equipment service technicians and mechanics,1236.0,4247.0
7240,Small engine mechanics,249.0,1173.0
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",472.0,1535.0
7300,Control and valve installers and repairers,131.0,377.0
7310,,,6596.0
7315,"Heating, air conditioning, and refrigeration mechanics and installers",2184.0,
7320,Home appliance repairers,238.0,874.0
7330,Industrial and refractory machinery mechanics,2024.0,7167.0
7340,"Maintenance and repair workers, general",3197.0,6941.0
7350,"Maintenance workers, machinery",166.0,971.0
7360,Millwrights,247.0,1150.0
7410,Electrical power-line installers and repairers,716.0,1992.0
7420,Telecommunications line installers and repairers,810.0,3093.0
7430,Precision instrument and equipment repairers,298.0,1066.0
7510,"Coin, vending, and amusement machine servicers and repairers",198.0,1022.0
7520,Commercial divers,,85.0
7540,Locksmiths and safe repairers,132.0,434.0
7550,Manufactured building and mobile home installers,24.0,228.0
7560,Riggers,79.0,167.0
7600,(sin etiqueta limpia — código SOC 49-9097),,98.0
7610,"Helpers--installation, maintenance, and repair workers",110.0,485.0
7620,,,3613.0
7630,(sin etiqueta limpia — código SOC 49-909X),457.0,
7640,"Other installation, maintenance, and repair workers",569.0,
7700,First-line supervisors of production and operating workers,3999.0,14499.0
7710,"Aircraft structure, surfaces, rigging, and systems assemblers",14.0,169.0
7720,"Electrical, electronics, and electromechanical assemblers",616.0,3471.0
7730,Engine and other machine assemblers,32.0,233.0
7740,Structural metal fabricators and fitters,129.0,485.0
7750,Other assemblers and fabricators,5147.0,18684.0
7800,Bakers,1208.0,3266.0
7810,"Butchers and other meat, poultry, and fish processing workers",1555.0,5438.0
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders",66.0,243.0
7840,Food batchmakers,499.0,1508.0
7850,Food cooking machine operators and tenders,75.0,205.0
7855,"Food processing workers, all other",848.0,
7900,(sin etiqueta limpia — código SOC 51-4010),204.0,970.0
7905,Computer numerically controlled tool operators and programmers,211.0,
7920,(sin etiqueta limpia — código SOC 51-4021),34.0,296.0
7925,"Forming machine setters, operators, and tenders, metal and plastic",71.0,
7930,(sin etiqueta limpia — código SOC 51-4022),,144.0
7940,(sin etiqueta limpia — código SOC 51-4023),37.0,242.0
7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",319.0,1981.0
7960,(sin etiqueta limpia — código SOC 51-4032),,137.0
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",190.0,980.0
8010,(sin etiqueta limpia — código SOC 51-4034),30.0,339.0
8020,(sin etiqueta limpia — código SOC 51-4035),,73.0
8025,"Other machine tool setters, operators, and tenders, metal and plastic",23.0,
8030,Machinists,1576.0,6946.0
8040,"Metal furnace operators, tenders, pourers, and casters",109.0,438.0
8060,"Model makers and patternmakers, metal and plastic",,166.0
8100,"Molders and molding machine setters, operators, and tenders, metal and plastic",176.0,1129.0
8120,(sin etiqueta limpia — código SOC 51-4081),,108.0
